id;phase;epic;priority;points;owner;title;outcome;acceptance;dependencies;evidence;status
JW-041;M3;Materiais;P1;5;Frontend/Backend;Editar, salvar e regenerar derivados;Materiais independentes com configurações, revisão, notas e versões.;"Editar não altera original; regenerar mostra nova versão sem apagar edição manual. | Marcar citações afetadas pela edição como pendentes; exportar referência da versão usada.";JW-027, JW-032, JW-033, JW-036, JW-037, JW-038;Preservação das ferramentas com reutilização confiável;Planejado
JW-042;M4;Leitor;P1;5;Frontend/Backend;Leitor contextual e navegação entre fontes;Abrir passagem destacada, voltar ao ponto anterior e mostrar metadados reais.;"Clique rápido em A/B não mistura título e conteúdo; navegação relativa resolve pelo documento real. | Imagens HTTPS, srcset e referências funcionam; teclado e retorno de foco preservados.";JW-004, JW-005, JW-013, JW-015, JW-017, JW-041;"scraper.py:577-614; app.js:1076-1096";Parcial
JW-043;M4;Exportação;P1;5;Frontend/Backend;Exportações fiéis por pesquisa e material;Markdown/JSON/DOCX/PDF preservam textos, fontes, tabelas e tempos.;"Título com emoji não gera 500; DOCX possui links utilizáveis e hierarquia. | Impressão não oculta rótulos de citação nem corta tabelas/esboços longos; opção para exportar só material selecionado.";JW-005, JW-011, JW-034, JW-036, JW-037, JW-039, JW-041;"main.py:232; CSS print oculta button; evidência do emoji";Parcial
JW-044;M4;Compatibilidade;P1;5;Backend/Frontend;Migrar estudos e formatos legados;Importação versionada, recuperação e exportação de backup antes da migração.;"JSON antigo válido continua abrindo; MD é importado como texto sem status de fonte verificada. | Dados inválidos são recusados com explicação; migração repetida é idempotente e reversível.";JW-001, JW-005, JW-027, JW-041, JW-043;Importer verifica apenas array turns;Parcial
JW-045;M4;Privacidade;P1;3;Frontend/Backend;Armazenamento e exclusão previsíveis;Histórico robusto com tratamento de quota, retenção e controles de exclusão.;"Falha de armazenamento não transforma geração bem-sucedida em erro de conexão. | Definir excluir histórico, estudo ativo, materiais e cópias no servidor; perfis familiares não exigem dados pessoais.";JW-024, JW-027, JW-035, JW-044;"localStorage limita conversas, não bytes; exclusão só remove cópia";Planejado
JW-046;M4;Acessibilidade;P1;5;Frontend/QA;Teclado, foco e leitura confortável;Diálogos semânticos, foco gerido, contraste, zoom e referências operáveis.;"Abrir/fechar modal mantém foco e Escape; controle não depende apenas de hover. | Testar 320px, zoom 200%, leitor de tela e textos grandes; tabela tem cabeçalhos e alternativa móvel.";JW-029, JW-033, JW-036, JW-038, JW-042;"HTML sem role=dialog/aria-modal; span bíblico não focalizável";Planejado
JW-047;M4;PWA;P1;3;Frontend;Cache e atualização PWA seguros;Assets versionados, atualização coerente e limites claros de offline.;"Não gravar erro HTTP sobre asset bom; precache corresponde à URL usada. | Estudo salvo abre offline; novas pesquisas informam necessidade de rede; atualização preserva edição não salva.";JW-002, JW-029, JW-044, JW-045;"SW v18; /app.js versus /app.js?v=2.18.0";Parcial
JW-048;M4;Qualidade;P1;5;QA/Backend;Testar pesquisa, fontes e falhas deterministicamente;Fixtures de conteúdo e provedores simulados cobrindo os defeitos reais.;"Testes cobrem 503, timeout, coleta vazia, referência falsa, idioma, orçamento e cancelamento. | Health verde exige sucesso real; testes externos não mascaram falhas nem consomem chave por padrão.";JW-002, JW-010, JW-017, JW-019, JW-022, JW-025;Nove testes atuais passam com diagnóstico quebrado;Parcial
JW-049;M4;Qualidade;P1;5;QA/IA;Testar as quatro ferramentas e as sete durações;Casos estruturais, de seleção e conteúdo para todos os artefatos.;"Tabela compara exatamente o conjunto escolhido; família mistura perfis sem duplicar tempo. | Esboços nas sete durações fecham orçamento e não inventam fontes; textos complementares são realmente verificados.";JW-033, JW-036, JW-037, JW-039, JW-041;Requisitos novos de artefatos;Parcial
JW-050;M4;Qualidade;P1;5;Pesquisa/QA;Construir benchmark editorial e de fontes;Conjunto inicial de 20–30 casos com evidências conferidas e rubrica explícita.;"Incluir assunto raro, histórico, divergência contextual, ausência de fonte e as perguntas sobre dívidas. | Avaliar suporte, cobertura, fidelidade e utilidade; não usar só tamanho, nota automática ou texto antigo como verdade.";JW-017, JW-021, JW-028, JW-048, JW-049;Comparação anterior é amostra de 2 respostas, não benchmark completo;Planejado
JW-051;M4;Qualidade;P1;5;QA/Frontend;Jornadas completas e regressão de recursos;Teste ponta a ponta da pesquisa aos quatro materiais e exportações.;Pesquisar → comparar → família → textos → esboço → salvar/importar/exportar funciona em desktop/mobile. | Testar mudança de conversa, importação hostil, regeneração, offline e clique rápido no leitor.;JW-042, JW-043, JW-044, JW-046, JW-047, JW-049;Contrato de preservação JW-001;Parcial
JW-052;M4;Operação;P1;3;Engenharia/Produto;Medir latência e custo por modo e ferramenta;Metas revisadas com medição, limites e resultado parcial claro.;"Medir p50/p95 e causas em amostra definida; diferenciar cache/cold start. | Reuso de evidências reduz chamadas; orçamento configurado limita gasto; divulgar desconhecido quando não há medição.";JW-021, JW-022, JW-031, JW-050;Não há base para prometer 4–8 s ou custo zero;Planejado
JW-053;M4;Conteúdo;P1;3;Produto/Editorial;Revisar linguagem, atribuição e incerteza;Tom claro e respeitoso, aplicação identificada e metadados de origem precisos.;"Evitar rotular síntese gerada como publicação oficial ou afirmar 100% de precisão. | Não transformar inferência em regra; adaptações familiares não presumem funções/capacidades por gênero/idade.";JW-016, JW-018, JW-036, JW-038, JW-050;Promessas de 100%, rótulos oficiais e percentuais não calibrados;Planejado
JW-054;M4;Segurança/Operação;P1;5;QA/DevOps;Testar carga moderada e falhas de infraestrutura;Plano de carga em homologação e testes de isolamento/recuperação.;"Reinício, provedor lento e indisponibilidade de fonte não deixam trabalho infinito. | Usuários isolados, cancelamento efetivo e recursos limitados; nenhuma carga agressiva enviada ao site fonte.";JW-004, JW-007, JW-024, JW-025, JW-031, JW-048;Ausência de testes de carga e recuperação;Planejado
JW-055;M4;Distribuição;P1;3;Engenharia/Produto;Documentar e empacotar release sem segredos;README fiel, instruções de instalação, changelog e pacote com arquivos permitidos.;"ZIP não inclui .env, caches, credenciais nem artefatos de desenvolvimento. | Indicar estado real de web/Android/iOS e decisões de licença/atribuição; remover promessas não medidas.";JW-001, JW-002, JW-008, JW-043, JW-053;"criar_pacote_zip.bat inclui diretórios inteiros; documentação divergente";Parcial
JW-056;M5;Entrega;P1;5;DevOps;Homologação e deploy observável;Ambiente separado, secrets, banco/fila persistentes e health probes.;"Build do commit rastreável; migrações ensaiadas antes de produção. | Deep research funciona após restart e não depende de filesystem efêmero; URLs/custos de serviços são decisão explícita.";JW-002, JW-009, JW-023, JW-024, JW-031, JW-054, JW-055;render.yaml atual sem job/store e sem runtime fixo;Planejado
JW-057;M5;Entrega;P1;3;DevOps/Backend;Rollback e restauração testados;Feature flags, backup e compatibilidade de schema entre versões.;"Reverter UI/worker não apaga estudos e materiais. | Restaurar backup em ambiente isolado e medir perda/tempo; pausar novas pesquisas se versão não conseguir processar fila.";JW-027, JW-044, JW-045, JW-056;Migração incremental precisa reversibilidade;Planejado
JW-058;M5;Operação;P1;3;DevOps/Produto;Runbook de incidentes e manutenção de modelos;Procedimentos para quotas, credenciais, modelos retirados, fontes alteradas e bugs de citação.;"Operador identifica fase/fonte/provedor por ID sem expor conteúdo privado. | Suspender provedor e revogar segredo sem redeploy de frontend; corrigir referência com histórico de versão.";JW-022, JW-031, JW-055, JW-056, JW-057;Modelos hardcoded e tratamento de erro por texto;Planejado
JW-059;M5;Validação;P1;3;Produto/QA;Beta orientado a tarefas reais;Grupo restrito testa pesquisas, famílias variadas e discursos de várias durações.;"Coletar se encontrou fonte, preparou material e cumpriu objetivo, sem exigir dados familiares privados. | Registrar falhas por tarefa e priorizar; não usar apenas satisfação subjetiva.";JW-050, JW-051, JW-052, JW-053, JW-056;Validar relevância do produto além da geração de texto;Planejado
JW-060;M5;Entrega;P1;2;Produto/Engenharia;Gate de lançamento e monitoramento inicial;Checklist de liberação com evidências e responsáveis funcionais.;"Nenhum P0 aberto; quatro ferramentas preservadas; referência fabricada bloqueada nos casos de teste. | Aprovar benchmark humano, recuperação, isolamento e exports; definir responsável por incidentes.";JW-048, JW-049, JW-050, JW-051, JW-052, JW-054, JW-057, JW-058, JW-059;Entrega completa não equivale a deploy que iniciou;Planejado
JW-061;Futuro;Mobile;P2;8;Android;Alinhar Android ao serviço e aos materiais;Contrato compartilhado, navegação e segurança equivalentes à PWA.;Definir descontinuação ou manutenção explícita do modo standalone. | Compilar/testar em SDK declarado, comparar fontes/materiais e garantir que leitor não transmite chave.;JW-008, JW-011, JW-041, JW-043, JW-060;"Client direto; renderer sem tabelas; APK não auditado como binário";Planejado
JW-062;Futuro;Mobile;P2;8;iOS;Restaurar projeto iOS compilável e seguro;Projeto Xcode, bindings corretos, leitor real e contrato comum.;"Compilar em macOS e validar navegação; corrigir text:/selection: vazios e closures inválidas. | Segredos em armazenamento apropriado; leitor renderiza conteúdo, não HTML cru em Text.";JW-008, JW-011, JW-041, JW-043, JW-060;"ContentView.swift; SearchClient.swift; projeto Xcode ausente";Planejado
JW-063;Futuro;Mobile;P2;5;QA/Mobile;Matriz de paridade e publicação mobile;Versões compatíveis e testes reais de armazenamento, rede e acessibilidade.;"Android/iOS passam jornadas equivalentes da matriz e não anunciam recursos ausentes. | Builds rastreáveis substituem APK solto sem proveniência; publicação exige validação da versão real.";JW-061, JW-062;Não foi realizada compilação mobile nesta análise;Planejado
JW-064;Futuro;Escala;P3;8;IA/Backend;Avaliar índice semântico após benchmark;Experimento condicionado a lacunas de recuperação comprovadas.;"Comparar baseline lexical/híbrido com custo, cobertura e atualização. | Adotar somente se melhora casos reais; evitar cópia indiscriminada de acervo.";JW-020, JW-050, JW-052, JW-060;Banco vetorial não é pré-requisito demonstrado;Planejado
JW-065;Futuro;Colaboração;P3;8;Produto/Backend;Sincronização opcional entre dispositivos;Contas, resolução de conflitos e compartilhamento privado revogável.;"Consentimento explícito para sincronizar; não publicar estudos por padrão. | Controle por recurso, revogação e conflito de versões testados; pesquisas locais continuam úteis.";JW-024, JW-027, JW-045, JW-057, JW-060;Recurso adicional, não necessário para o primeiro lançamento;Planejado
JW-066;Futuro;Organização;P2;3;Frontend;Coleções, favoritos e anotações;Reencontrar estudos e fontes por tema com notas pessoais separadas da publicação.;Nota do usuário nunca aparece como texto da fonte. | Busca por título/tema e organização local preservam referências e versões.;JW-027, JW-041, JW-045, JW-060;Melhoria de reutilização para tornar a ferramenta relevante;Planejado
JW-067;Futuro;Idiomas;P2;5;Backend/QA;Consolidar inglês e espanhol com paridade;Edição bíblica, URLs, metadados e interface coerentes por idioma.;"Troca de idioma não reaproveita verso/cache de outra edição. | Benchmarks por idioma e referências locais válidas; português é o primeiro escopo integral.";JW-015, JW-018, JW-020, JW-050, JW-060;URLs r5/lp-t hardcoded fora de pt;Planejado
JW-068;Futuro;Qualidade;P3;5;Pesquisa/Produto;Indicadores de cobertura calibrados;Mostrar cobertura observável e pendências, com avaliação de significado.;Indicador mede itens verificados, não probabilidade arbitrária de verdade. | Se adotar score, documentar conjunto de calibração, limitações e atualização.;JW-031, JW-050, JW-059, JW-060;Conversa referência exibe confiança 97/98% sem método;Planejado
